"","soundFile","trialnum","condition","random_block_key_resp.rt","random_block_key_resp.keys","structured_block_key_resp.rt","structured_block_key_resp.keys","starget","Run","PartID","ttarget","expName"
"54","du.wav",342,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
"55","pi.wav",343,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
"56","tu.wav",344,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
"57","bi.wav",345,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
"58","bu.wav",346,"S",NA,"",0.369246509916,"3","bi",2,"f006","1C","auditory"
"59","pa.wav",347,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
"60","da.wav",348,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
"61","di.wav",349,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
"62","ba.wav",350,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
"63","pu.wav",351,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
"64","bu.wav",352,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
"65","pa.wav",353,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
"66","da.wav",354,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
"67","pi.wav",355,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
"68","tu.wav",356,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
"69","bi.wav",357,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
"70","ta.wav",358,"S",NA,"",0.291999407229,"3","bi",2,"f006","1C","auditory"
"71","ti.wav",359,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
"72","du.wav",360,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
"73","di.wav",361,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
"74","ba.wav",362,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
"75","pu.wav",363,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
"76","pi.wav",364,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
"77","tu.wav",365,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
"78","bi.wav",366,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
"79","bu.wav",367,"S",NA,"",0.383700261766,"3","bi",2,"f006","1C","auditory"
"80","pa.wav",368,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
"81","da.wav",369,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
"82","ta.wav",370,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
"83","ti.wav",371,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
"84","du.wav",372,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
"85","di.wav",373,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
"86","ba.wav",374,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
"87","pu.wav",375,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
"88","bu.wav",376,"S",NA,"",NA,"None","bi",2,"f006","1C","auditory"
